month,nadp
2019-03-01,7.10
2019-02-01,7.15
2019-01-01,7.08
2018-12-01,7.12
2018-11-01,7.14
2018-10-01,7.18
2018-09-01,7.21
2018-08-01,7.18
2018-07-01,7.17
2018-06-01,7.19
2018-05-01,7.14
2018-04-01,7.12
2018-03-01,7.20
2018-02-01,7.22
2018-01-01,7.23
2017-12-01,7.19
2017-11-01,7.17
2017-10-01,7.24
2017-09-01,7.21
2017-08-01,7.23
2017-07-01,7.20
2017-06-01,7.18
2017-05-01,7.16
2017-04-01,7.19
2017-03-01,7.18
2017-02-01,7.16
2017-01-01,7.17
2016-12-01,7.12
2016-11-01,7.13
2016-10-01,7.15
2016-09-01,7.17
2016-08-01,7.14
2016-07-01,7.18
2016-06-01,7.19
2016-05-01,7.17
2016-04-01,7.18
2016-03-01,7.21
2016-02-01,7.20
2016-01-01,7.16
2015-12-01,7.15
2015-11-01,7.14
2015-10-01,7.18
2015-09-01,7.14
2015-08-01,7.16
2015-07-01,7.13
2015-06-01,7.12
2015-05-01,7.10
2015-04-01,7.12
2015-03-01,7.13
2015-02-01,7.14
2015-01-01,7.12
2014-12-01,7.18
2014-11-01,7.16
2014-10-01,7.13
2014-09-01,7.15
2014-08-01,7.14
2014-07-01,7.12
2014-06-01,7.10
2014-05-01,7.13
2014-04-01,7.14
2024-06-01,5.72
2024-05-01,5.89
2024-04-01,5.94
2024-03-01,5.90
2024-02-01,5.77
2024-01-01,5.73
2023-12-01,5.98
2023-11-01,6.04
2023-10-01,6.33
2023-09-01,6.49
2023-08-01,6.34
2023-07-01,6.32
2023-06-01,5.91
2023-05-01,5.83
2023-04-01,5.87
2023-03-01,6.26
2023-02-01,6.25
2023-01-01,6.31
2022-12-01,6.51
2022-11-01,6.50
2022-10-01,6.62
2022-09-01,6.53
2022-08-01,6.55
2022-07-01,6.50
2022-06-01,6.45
2022-05-01,6.45
2022-04-01,6.43
2022-03-01,6.48
2022-02-01,6.38
2022-01-01,6.45
2021-12-01,6.65
2021-11-01,6.73
2021-10-01,6.81
2021-09-01,6.77
2021-08-01,6.67
2021-07-01,6.75
2021-06-01,6.88
2021-05-01,6.82
2021-04-01,6.86
2021-03-01,6.95
2021-02-01,6.86
2021-01-01,6.92
2020-12-01,7.00
2020-11-01,6.98
2020-10-01,7.17
2020-09-01,7.14
2020-08-01,7.02
2020-07-01,7.11
2020-06-01,7.10
2020-05-01,7.06
2020-04-01,7.04
2020-03-01,7.11
2020-02-01,6.92
2020-01-01,7.02
2019-12-01,7.05
2019-11-01,7.07
2019-10-01,7.14
2019-09-01,7.15
2019-08-01,7.16
2019-07-01,7.04
2019-06-01,7.07
2019-05-01,7.13
2019-04-01,7.13
